date,time,network,video,caption,hashtags
2026-09-24,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab e06 EN - How many minutes are.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. How many minutes are in a day? That's the impossible one; first an easy one and a hard one. One miss and you're out. How far did you get? Comment 1, 2 or 3 👇 Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #geography"
2026-09-24,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab t01 EN - How many hearts does.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. How many hearts does an octopus have? Plus two more before it: how many can you get? Comment your score: 0, 1, 2 or 3 👇 Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #space"
2026-09-24,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f29a EN - What is the most.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. What is the most populated city in the world? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz"
2026-09-25,11:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab x09 - Esta tiene trampa 09.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. Esta tiene trampa: ¿Qué país tiene más islas del mundo? ¿Has caído? Comenta sí o no 👇 Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #trampa #preguntas"
2026-09-25,14:30,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab x15 - Completa el refran 15.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. Completa el refrán: 4 refranes de toda la vida. ¿Cuántos sabías? Comenta de 0 a 4 👇 Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #refranes #espanol"
2026-09-25,19:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab e06 - Cuantos minutos tiene un.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. ¿Cuántos minutos tiene un día? Esa es la imposible; antes van una fácil y una difícil. Un fallo y fuera. ¿Hasta cuál llegaste? Comenta 1, 2 o 3 👇 Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #geografia"
2026-09-25,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab e01 EN - What is the longest.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. What is the longest river in Europe? That's the impossible one; first an easy one and a hard one. One miss and you're out. How far did you get? Comment 1, 2 or 3 👇 Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #geography"
2026-09-25,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab t06 EN - Which gas is the.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. Which gas is the most abundant in Earth's atmosphere? Plus two more before it: how many can you get? Comment your score: 0, 1, 2 or 3 👇 Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #sports #geography"
2026-09-25,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f99a EN - What is the closest.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. What is the closest star to Earth? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #space"
2026-09-26,11:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab x04 - Verdadero o falso 04.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. Verdadero o falso: 5 frases, 3 segundos cada una. ¿Cuántas has acertado? Comenta de 0 a 5 👇 Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #verdaderoofalso #datoscuriosos"
2026-09-26,14:30,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab x11 - Esto o aquello 11.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. Esto o aquello: 5 duelos, 3 segundos cada uno. ¿Cuántos has acertado? Comenta de 0 a 5 👇 Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #estooaquello #duelo"
2026-09-26,19:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab t01 - Cuantos corazones tiene un.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. ¿Cuántos corazones tiene un pulpo? Y dos más antes: ¿cuántas aciertas de 3? Comenta cuántas has acertado: 0, 1, 2 o 3 👇 Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #espacio"
2026-09-26,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab e04 EN - How many equal sides.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. How many equal sides does an isosceles triangle have? That's the impossible one; first an easy one and a hard one. One miss and you're out. How far did you get? Comment 1, 2 or 3 👇 Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #maths #history"
2026-09-26,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f80aF EN - In what year did.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. In what year did Columbus reach America? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #history"
2026-09-26,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab e10 EN - Which country has the.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. Which country has the largest population? That's the impossible one; first an easy one and a hard one. One miss and you're out. How far did you get? Comment 1, 2 or 3 👇 Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #space #science"
2026-09-27,11:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab x08 - Banderas con zoom 08.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. ¿De qué país es? 4 banderas vistas muy de cerca. ¿Cuántas has sacado? Comenta de 0 a 4 👇 Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #banderas #geografia"
2026-09-27,14:30,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab x14 - Ordenalos 14.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. Ordénalos del más antiguo al más reciente. Tienes 6 segundos. ¿Lo has clavado? Comenta tu orden 👇 Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #ordena #reto"
2026-09-27,19:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f29a - Cual es la ciudad.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. ¿Cuál es la ciudad más poblada del mundo? ¿La sabías? Dilo en comentarios. Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral"
2026-09-27,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f82aF EN - How many days are.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. How many days are in a leap year? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #maths"
2026-09-27,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab e05 EN - How many teeth does.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. How many teeth does an adult have (without wisdom teeth)? That's the impossible one; first an easy one and a hard one. One miss and you're out. How far did you get? Comment 1, 2 or 3 👇 Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #space #animals"
2026-09-27,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f59a EN - Which is the smallest.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. Which is the smallest ocean? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #geography"
2026-09-28,11:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab e01 - Cual es el rio.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. ¿Cuál es el río más largo de Europa? Esa es la imposible; antes van una fácil y una difícil. Un fallo y fuera. ¿Hasta cuál llegaste? Comenta 1, 2 o 3 👇 Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #geografia"
2026-09-28,14:30,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab t06 - Que gas es el.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. ¿Qué gas es el más abundante en la atmósfera terrestre? Y dos más antes: ¿cuántas aciertas de 3? Comenta cuántas has acertado: 0, 1, 2 o 3 👇 Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #deporte #geografia"
2026-09-28,19:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f99a - Cual es la estrella.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. ¿Cuál es la estrella más cercana a la Tierra? ¿La sabías? Dilo en comentarios. Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #espacio"
2026-09-28,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f50aF EN - What is the official.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. What is the official language of Brazil? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #languages"
2026-09-28,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f28aF EN - How many hearts does.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. How many hearts does an octopus have? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz"
2026-09-28,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f94aF EN - Which instrument has keys.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. Which instrument has keys and strings struck by hammers? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #music"
2026-09-29,11:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab e04 - Cuantos lados iguales tiene.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. ¿Cuántos lados iguales tiene un triángulo isósceles? Esa es la imposible; antes van una fácil y una difícil. Un fallo y fuera. ¿Hasta cuál llegaste? Comenta 1, 2 o 3 👇 Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #matematicas #historia"
2026-09-29,14:30,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f80aF - En que ano llego.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. ¿En qué año llegó Colón a América? ¿La sabías? Dilo en comentarios. Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #historia"
2026-09-29,19:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab e10 - Cual es el pais.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. ¿Cuál es el país con más habitantes del mundo? Esa es la imposible; antes van una fácil y una difícil. Un fallo y fuera. ¿Hasta cuál llegaste? Comenta 1, 2 o 3 👇 Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #espacio #ciencia"
2026-09-29,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f42aF EN - Which metal is liquid.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. Which metal is liquid at room temperature? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #science"
2026-09-29,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f97a EN - What kind of animal.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. What kind of animal is a whale? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #animals"
2026-09-29,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f48aF EN - How many keys does.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. How many keys does a standard piano have? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #music"
2026-09-30,11:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f82aF - Cuantos dias tiene un.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. ¿Cuántos días tiene un año bisiesto? ¿La sabías? Dilo en comentarios. Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #matematicas"
2026-09-30,14:30,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab e05 - Cuantos dientes tiene un.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. ¿Cuántos dientes tiene un adulto (sin las muelas del juicio)? Esa es la imposible; antes van una fácil y una difícil. Un fallo y fuera. ¿Hasta cuál llegaste? Comenta 1, 2 o 3 👇 Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #espacio #animales"
2026-09-30,19:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f59a - Cual es el oceano.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. ¿Cuál es el océano más pequeño? ¿La sabías? Dilo en comentarios. Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #geografia"
2026-09-30,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f21a EN - What is the largest.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. What is the largest country in Africa? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz"
2026-09-30,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f67a EN - Which animal lays the.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. Which animal lays the largest eggs? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #animals"
2026-09-30,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f84aF EN - What is the largest.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. What is the largest organ of the human body? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #science"
2026-10-01,11:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f50aF - Cual es el idioma.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. ¿Cuál es el idioma oficial de Brasil? ¿La sabías? Dilo en comentarios. Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #idiomas"
2026-10-01,14:30,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f28aF - Cuantos corazones tiene un.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. ¿Cuántos corazones tiene un pulpo? ¿La sabías? Dilo en comentarios. Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral"
2026-10-01,19:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f94aF - Que instrumento tiene teclas.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. ¿Qué instrumento tiene teclas y cuerdas golpeadas por martillos? ¿La sabías? Dilo en comentarios. Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #musica"
2026-10-01,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f68aF EN - How many strings does.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. How many strings does a classical guitar have? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #music"
2026-10-01,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f69a EN - Which sea borders Valencia.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. Which sea borders Valencia? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #geography"
2026-10-01,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f36aF EN - In which country was.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. In which country was tango born? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #music"
2026-10-02,11:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f42aF - Cual es el metal.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. ¿Cuál es el metal líquido a temperatura ambiente? ¿La sabías? Dilo en comentarios. Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #ciencia"
2026-10-02,14:30,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f97a - Que tipo de animal.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. ¿Qué tipo de animal es la ballena? ¿La sabías? Dilo en comentarios. Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #animales"
2026-10-02,19:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f48aF - Cuantas teclas tiene un.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. ¿Cuántas teclas tiene un piano estándar? ¿La sabías? Dilo en comentarios. Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #musica"
2026-10-02,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f89a EN - Which insect makes honey.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. Which insect makes honey? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #animals"
2026-10-02,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f85a EN - In which city is.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. In which city is the Colosseum? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #history"
2026-10-02,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f20aF EN - Which is the fastest.mp4,"€20 prize on Saturday 17 October, and €65 in prizes this season. Which is the fastest animal in the world? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz"
2026-10-03,11:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f21a - Cual es el pais.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. ¿Cuál es el país más grande de África? ¿La sabías? Dilo en comentarios. Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral"
2026-10-03,14:30,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f67a - Que animal pone los.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. ¿Qué animal pone los huevos más grandes? ¿La sabías? Dilo en comentarios. Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #animales"
2026-10-03,19:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f84aF - Cual es el organo.mp4,"20 € de premio el sábado 17 de octubre, y 65 € en premios esta temporada. ¿Cuál es el órgano más grande del cuerpo humano? ¿La sabías? Dilo en comentarios. Los que más aguantan, cobran. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #ciencia"
